id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
778;Mrs. Parker and the Vicious Circle;11/23/1994;Biography, Drama;Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair.;7000000.0;2144667.0;2144667.0
779;Muriel's Wedding;4/21/1995;Comedy, Drama;A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.;9000000.0;15119639.0;15482277.0
780;Mute Witness;9/28/1995;Crime, Thriller;A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture.;2000000.0;1125910.0;1125910.0
781;Nadja;9/1/1995;Drama, Horror;This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...;1000000.0;443169.0;443169.0
782;Naked Gun 33 1/3: The Final Insult;5/20/1994;Comedy, Crime;Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.;30000000.0;51132598.0;51132598.0
783;Natural Born Killers;8/26/1994;Crime, Drama;Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.;34000000.0;50282766.0;50282766.0
784;Nell;3/17/1995;Drama;In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.;31000000.0;33683817.0;106683817.0
785;The Next Karate Kid;9/9/1994;Action, Drama, Family;"Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.";12000000.0;8914777.0;15876353.0
786;No Escape;9/23/1994;Action, Drama, Sci-Fi;A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.;20000000.0;15339030.0;15339030.0
787;Nobody's Fool;4/14/1995;Comedy, Drama;A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.;20000000.0;39491975.0;39491975.0
788;North;7/29/1994;Adventure, Comedy, Drama;Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.;40000000.0;7182747.0;7182747.0
790;On Deadly Ground;3/25/1994;Action, Adventure, Thriller;A mystical martial artist/environmental Agent takes on a ruthless oil corporation.;50000000.0;38590458.0;38590458.0
791;PCU;4/29/1994;Comedy;A high school senior visits college for the weekend, and stays at the wildest house on campus in this classic tale of anti-political-correctness.;8000000.0;4330020.0;4330020.0
792;The Pagemaster;12/16/1994;Animation, Adventure, Comedy;A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real-life.;27000000.0;13670688.0;13670688.0
793;The Paper;5/6/1994;Comedy, Drama;New York City tabloid editor Henry\'s faced with tough decisions while he faces several serious life challenges, and a tempting job offer.;6000000.0;38824341.0;48424341.0
794;Police Academy: Mission to Moscow;8/19/1994;Comedy, Crime;The Russian government hires the veterans of the;6200000.0;126247.0;126247.0
795;Il postino;3/21/1996;Biography, Comedy, Drama;"Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.";3000000.0;21848932.0;21898920.0
796;Pred dozhdot;11/16/1994;Drama, War;Three interconnected stories of love under the threat of civil war in Macedonia and London.;1900000.0;763847.0;763847.0
797;Prêt-à-Porter;12/25/1994;Comedy, Drama;A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.;18000000.0;11300653.0;11300653.0
798;Pulp Fiction;10/28/1994;Crime, Drama;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;8000000.0;107928762.0;214179088.0
799;Quiz Show;2/24/1995;Biography, Drama, History;A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin\'s investigation.;31000000.0;24822619.0;24822619.0
800;Radioland Murders;10/21/1994;Comedy, Crime, Drama;In 1939, WBN, a fourth radio network, is about to take to America\'s airwaves. As if the confusion of the premiere night wasn\'t enough, Penny Henderson, the owner\'s secretary, must deal with...;15000000.0;1316865.0;1316865.0
801;Rapa Nui;9/9/1994;Action, Adventure, Drama;Love between the representatives of two warring tribes changes the balance of power on the whole remote island.;20000000.0;305070.0;305070.0
802;Reality Bites;6/17/1994;Comedy, Drama, Romance;A documentary filmmaker and her fellow Gen X graduates face life after college, looking for work and love in Houston.;11500000.0;20982557.0;33351557.0
803;The Ref;3/11/1994;Comedy, Crime, Drama;A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.;11000000.0;11439193.0;11439193.0
805;Renaissance Man;6/3/1994;Comedy, Drama;A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.;40000000.0;24332324.0;24332324.0
806;The Return of the Texas Chainsaw Massacre;10/21/1995;Comedy, Horror, Thriller;A group of teenagers get into a car crash in the Texas woods on prom night, and then wander into an old farmhouse that is home to Leatherface and his insane family of cannibalistic psychopaths.;600000.0;185898.0;185898.0
807;Ri¢hie Ri¢h;5/26/1995;Comedy, Family;A rich young boy finds his family targeted in an inside job and must use his cunning to save them.;40000000.0;38087756.0;38087756.0
808;The River Wild;2/24/1995;Adventure, Crime, Thriller;Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.;45000000.0;46816343.0;94216343.0
809;The Road to Wellville;2/3/1995;Comedy, Drama;A story about the ins and outs of one unusual health facility in the early twentieth century, run by the eccentric Dr. John Harvey Kellogg.;25000000.0;6562513.0;6562513.0
810;The Santa Clause;12/1/1995;Comedy, Drama, Family;When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.;22000000.0;144833357.0;189833357.0
811;The Secret of Roan Inish;2/3/1995;Drama, Family, Fantasy;Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.;3000000.0;6159269.0;6159269.0
812;Serial Mom;4/13/1994;Comedy, Crime, Thriller;A sweet mother finds herself participating in homicidal activities when she sees the occasion call for it.;13000000.0;7820688.0;7820688.0
813;The Shadow;11/18/1994;Action, Adventure, Crime;In 1930s New York City, the Shadow battles his nemesis, Shiwan Khan, who is building an atomic bomb.;25000000.0;32063435.0;48063435.0
814;Shallow Grave;1/27/1995;Crime, Thriller;Three friends discover their new flatmate dead but loaded with cash.;2500000.0;2079569.0;2079569.0
815;The Shawshank Redemption;3/3/1995;Drama;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.;25000000.0;28699976.0;28781790.0
816;Silent Fall;10/28/1994;Drama, Mystery, Thriller;An autistic boy witnesses his parents\' double murder. Richard Dreyfuss as a controversial therapist, seeks to probe the child\'s mind in order to solve the case.;30000000.0;3180674.0;3180674.0
817;Spanking the Monkey;7/15/1994;Comedy, Drama;About to stay a summer internship, promising younng medical student, Raymond Aibelli\'s mother, Susan, breaks her leg. Housebound and immobile, his father, Tom makes Raymond stay home, and ...;200000.0;1359736.0;1359736.0
818;The Specialist;12/23/1994;Action, Crime, Drama;A woman entices a bomb expert she\'s involved with into destroying the mafia that killed her family.;45000000.0;57362582.0;170362582.0
819;Speed;9/30/1994;Action, Adventure, Thriller;A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.;30000000.0;121248145.0;350448145.0
820;Squanto: A Warrior's Tale;10/28/1994;Adventure, Biography, Drama;"Historically inaccurate chronicle of Squanto\'s life prior to and including the arrival of the ""Mayflower"" in 1620.";19200000.0;3342223.0;3342223.0
821;Star Trek: Generations;2/10/1995;Action, Adventure, Mystery;With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.;35000000.0;75671125.0;118071125.0
