movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
72,Boomerang,R,40000000,70100000,6/30/1992,Romance,117,5.5,24114,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
73,A League of Their Own,PG,40000000,107458785,7/1/1992,Comedy,128,7.2,85932,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
74,The Last of the Mohicans,R,40000000,75505856,9/25/1992,Action,112,7.7,139000,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
75,Bram Stoker's Dracula,R,40000000,215900000,11/13/1992,Drama,128,7.4,177678,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harkers fianc�e Mina Murray and inflict havoc in the foreign land.
76,A Few Good Men,R,40000000,243240178,12/11/1992,Drama,138,7.7,218747,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
77,Patriot Games,R,45000000,178051587,6/4/1992,Thriller,117,6.9,95783,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge."
78,Basic Instinct,R,49000000,352927224,3/20/1992,Thriller,127,6.9,159658,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
79,Batman Returns,PG-13,80000000,280000000,6/19/1992,Action,126,7,258216,Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.
80,Cool Runnings,PG,14000000,154864401,9/30/1993,Comedy,98,6.9,85604,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
81,Groundhog Day,PG,14600000,70906973,2/11/1993,Comedy,101,8,549538,A weatherman finds himself inexplicably living the same day over and over again.
82,Free Willy,PG,20000000,153698625,7/16/1993,Family,112,5.9,64130,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale."
83,Sleepless in Seattle,PG,21000000,227799884,6/24/1993,Romance,105,6.8,147908,A recently widowed mans son calls a radio talk-show in an attempt to find his father a partner.
84,Schindler's List,R,22000000,321365567,11/29/1993,History,195,8.9,1117322,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
